country,trees_no,land_area_km
Afghanistan,363350272,652860
Albania,1075789312,27400
Algeria,835195712,2381740
American Samoa,2733980,200
Andorra,23110062,470
Angola,42050605056,1246700
Antigua and Barbuda,7557658.5,440
Argentina,50239651840,2736690
Armenia,401684608,28470
Aruba,62972.375,180
Australia,76714500096,7682300
Austria,3075817472,82523
Azerbaijan,774163904,82663
Bahamas,172517984,10010
Bahrain,3034,771
Bangladesh,962728512,130170
Barbados,4538993.5,430
Belarus,5708252672,202910
Belgium,528807456,30280
Belize,1206968576,22810
Benin,2060631680,112760
Bermuda,48299.10938,50
Bhutan,1851211264,38117
Bolivia,59277484032,1083300
Bosnia and Herzegovina,1971107584,51200
Botswana,8090545152,566730
Brazil,3.02E+11,8358140
British Virgin Islands,1358791.25,150
Brunei,362057792,5270
Bulgaria,2789703168,108560
Burkina Faso,1020747520,273600
Burundi,379962624,25680
Cambodia,5550584320,176520
Cameroon,19430844416,472710
Canada,3.18E+11,9093510
Cape Verde,21382088,4030
Cayman Islands,5952453,240
Central African Republic,24261509120,622980
Chad,4657983488,1259200
Chile,19183013888,743532
China,1.40E+11,9388211
Colombia,51425353728,1109500
Comoros,71864784,1861
Congo,14476389376,341500
Costa Rica,1907686400,51060
Cote d'Ivoire,7268032000,318000
Croatia,2347630080,55960
Cuba,2295274496,104020
Curacao,1503070,444
Cyprus,63088928,9240
Czech Republic,2029378816,77210
Democratic Republic of Congo,1.01E+11,2267050
Denmark,303744992,41990
Djibouti,1359610.875,23180
Dominica,36888112,750
Dominican Republic,1076733696,48310
Ecuador,10311026688,248360
Egypt,68253608,995450
El Salvador,408137600,20720
Equatorial Guinea,1677304448,28050
Eritrea,303284512,101000
Estonia,1864416640,42390
Ethiopia,13831444480,1000000
Faeroe Islands,105559312,1396
Fiji,157028640,18270
Finland,24375093248,303890
France,12061049856,547557
French Polynesia,29777000,3660
Gabon,13914430464,257670
Gambia,51556520,10120
Georgia,2511206144,69490
Germany,8627454976,348900
Ghana,4554743808,227540
Gibraltar,14662.18555,10
Greece,3228877056,128900
Greenland,279451904,410450
Grenada,10501244,340
Guam,1555332.875,540
Guatemala,4663245824,107160
Guinea,8895597568,245720
Guinea-Bissau,1023119744,28120
Guyana,11807313920,196850
Haiti,148971808,27560
Honduras,4725467136,111890
Hong Kong,29745610,1050
Hungary,983371136,90530
Iceland,662753024,100250
India,35181322240,2973190
Indonesia,80665804800,1811570
Iran,2269082112,1628760
Iraq,522965664,434320
Ireland,708511936,68890
Isle of Man,10181441,570
Israel,12726418,21640
Italy,8801768448,294140
Jamaica,433465696,10830
Japan,18616717312,364560
Jordan,2508885.75,88780
Kazakhstan,6124535808,2699700
Kenya,3048628736,569140
Kiribati,998900,810
Kosovo,241295664,10887
Kuwait,61079.32813,17820
Kyrgyzstan,1175723264,191800
Laos,9979317248,230800
Latvia,2497626112,62180
Lebanon,28016004,10230
Lesotho,677510656,30360
Liberia,3352903168,96320
Libya,27197640,1759540
Liechtenstein,6079023,160
Lithuania,1474331136,62650
Luxembourg,55504704,2590
Macao,19784.8,30.3
Macedonia,644802752,25220
Madagascar,22365331456,581800
Malawi,3177856512,94280
Malaysia,15110054912,328550
Maldives,283428,300
Mali,2619819264,1220190
Malta,22929.52539,320
Marshall Islands,217172,180
Mauritania,114301136,1030700
Mauritius,32607918,2030
Mexico,56782200832,1943950
Micronesia (country),12413473,700
Moldova,136184752,32870
Monaco,10386.3,2
Mongolia,7409460736,1553560
Montenegro,589421888,13450
Morocco,518983360,446300
Mozambique,25697536000,786380
Myanmar,24495407104,653080
Namibia,2277666048,823290
Nauru,27146.5,20
Nepal,3355659520,143350
Netherlands,343683840,33690
New Caledonia,865954880,18280
New Zealand,11468801024,263310
Nicaragua,3939762176,120340
Niger,206806704,1266700
Nigeria,10944556032,910770
North Korea,5014459392,120410
Northern Mariana Islands,3686553.25,460
Norway,14247255040,365245
Oman,10066433,309500
Pakistan,992235520,770880
Palau,13204823,460
Palestine,1045690.188,6020
Panama,2888506880,74340
Papua New Guinea,22899769344,452860
Paraguay,19003179008,397300
Peru,46197633024,1280000
Philippines,6312320000,298170
Poland,6437707776,306190
Portugal,3126839552,91605
Puerto Rico,215847936,8870
Qatar,12644,11610
Romania,4836278272,230080
Russia,6.42E+11,16376870
Rwanda,348708384,24670
Saint Kitts and Nevis,7343199.5,260
Saint Lucia,21270334,610
Saint Vincent and the Grenadines,12621922,390
Samoa,40661400,2830
San Marino,475865.75,60
Sao Tome and Principe,59314388,960
Saudi Arabia,2713285.5,2149690
Senegal,1306909952,192530
Serbia,1657069056,87460
Seychelles,2028620.625,460
Sierra Leone,2272701952,72180
Singapore,2453930,709
Sint Maarten (Dutch part),151533.6719,34
Slovakia,1493392256,48086
Slovenia,1420915456,20140
Solomon Islands,1260014976,27990
Somalia,879845440,627340
South Africa,17791358976,1213090
South Korea,3826071296,97480
Spain,11391461376,500210
Sri Lanka,2437015296,62710
Sudan,3053661440,2376000
Suriname,8310388736,156000
Swaziland,910721280,17200
Sweden,31008122880,407310
Switzerland,1107665792,39516
Syria,100087952,183630
Tajikistan,148119840,138786
Tanzania,20814235648,885800
Thailand,8345450496,510890
Timor,512039872,14870
Togo,1023098432,54390
Tonga,5572860,720
Trinidad and Tobago,207744976,5130
Tunisia,151323136,155360
Turkey,8698405888,769630
Turkmenistan,7218816,469930
Turks and Caicos Islands,3895086,950
Tuvalu,38189.2,30
Uganda,2464824576,200520
Ukraine,7023662592,579290
United Arab Emirates,19529.21875,83600
United Kingdom,3004205568,241930
United States,2.28E+11,9147420
United States Virgin Islands,4659548,350
Uruguay,543400768,175020
Uzbekistan,114452776,425400
Vanuatu,572365824,12190
Venezuela,36278259712,882050
Vietnam,9353365504,310070
Yemen,15551580,527970
Zambia,27612139520,743390
Zimbabwe,5652261376,386850
